job_title_upd,organization_name,is_IT
Project Bridge Engineer,Pennoni,IT
Project Controls Analyst - Construction,Turner & Townsend,Non-IT
Project Cost Analyst,"Chart Industries, Inc.",IT
Project Designer - Fire Sprinkler Systems,Cogent Analytics,IT
PROJECT DESIGNER-ARCHITECTURAL VISUALIZATION ARTIST,Lensa,Non-IT
Project Developer,Lensa,IT
Project Developer,Hirenza,IT
Project Engineer,Real Time Logic,IT
Project Engineer,Jobot,IT
Project Engineer,The Poole and Kent Corporation,IT
Project Engineer,"RJN Group, Inc.",IT
Project Engineer,Per Sé Group,IT
Project Engineer,"Volkert, Inc.",IT
Project Engineer,Moog Inc.,IT
Project Engineer,Dice - JW,IT
Project Engineer,EnergySolutions,IT
Project Engineer  - Water/Wastewater,Trilon Group,IT
Project Engineer  Flex  IT  Broadcast  Media Workflows  News,Lensa,IT
Project Engineer  with AIS Infrastructure,ASRC Industrial,IT
Project Engineer - Civil Construction,CyberCoders,Non-IT
Project Engineer - Construction,gpac,Non-IT
Project Engineer - Eastern District,Kiewit,IT
Project Engineer - Food,CSG Talent,IT
Project Engineer - Gas,ENTRUST Solutions Group,IT
Project Engineer - Kiewit Power Constructors,Kiewit,IT
Project Engineer - Traffic Operations,Pape-Dawson Engineers,IT
Project Engineer - Water Resources,CyberCoders,IT
Project Engineer I - Civil/Structural,Booth & Associates,IT
Project Engineer II,"Essential Utilities, Inc.",IT
Project Engineer II - Large Projects,619 Recruiting,IT
Project Engineer II - SCADA Program Coordinator,"Aqua America, Inc.",IT
Project Engineer III - Transmission,Booth & Associates,IT
Project Engineer III Team Lead - Substation,Booth & Associates,IT
Project Engineering Lead,Ingersoll Rand,Non-IT
Project Engineering Manager - Water/Wastewater,Black & Veatch,Non-IT
Project Manager - Digital Integration Solutions,Eaton,Non-IT
Project Manager - Electrical Engineer,Ayres Associates,IT
Project Manager - Life Sciences & Technology,Burns & McDonnell,Non-IT
Project Manager - Site/Civil Renewable Energy,Weston & Sampson,Non-IT
"Project Manager, Civil Engineering – Land Development","Atwell, LLC",Non-IT
"Project Manager, Community Planning",Toll Brothers,Non-IT
"Project Manager, Engineering",Howard Energy Partners,Non-IT
"Project Manager, Geotechnical Engineer",Haley & Aldrich,IT
"Project Manager, Large Molecule ExM Technology","Kelly Science, Engineering, Technology & Telecom",Non-IT
Project Structural Engineer,Pennoni,IT
"Property Administrator, Seattle",Ares Management Corporation,IT
Property Claims Specialist Field I,Mercury Insurance,Non-IT
Property Management Analyst - Carilion Property Management,Carilion Clinic,IT
PROPERY & CASUALTY UNDERWRITING MANAGER,The Carlisle Group Tcg,Non-IT
Proposal Writer,The Suddath Companies,Non-IT
Propulsion Engineer,SpaceX,IT
"Propulsion Engineer, Additive",SpaceX,IT
"Propulsion Engineer, Raptor Integration",SpaceX,IT
Protection and Control Engineer – Transmission,Jacobs,IT
PwC Tech-Technical Lead Engineer,PwC,IT
PwC Technology - Adobe System Architect,PwC,IT
PwC Technology - Salesforce System Architect,PwC,IT
Python Counterparty Credit Risk Developer - AVP - NEW YORK,Citi,IT
Python Developer,Lensa,IT
Python Developer - Senior,Lumenalta (formerly Clevertech),IT
Python Staff Engineer,Lensa,IT
QA - India,Lensa,IT
QA Analyst,Corpay,IT
QA Analyst Tosca & Selenium,Dice - JW,IT
QA Automation,Lensa,IT
QA Automation Engineer,Lensa,IT
QA Automation Engineer,Air Apps,IT
QA Automation with AWS,Lensa,IT
QA Engineer,Lensa,IT
QA Engineer,Air Apps,IT
QA Engineer - Networking,Lensa,IT
"QA Lead, Tech",Epic Games,IT
QA Manager,Lensa,IT
QA Manager,Connect Tech+Talent,IT
"QA Manager, Global E-Commerce",TikTok,IT
QA Mobile Automation,Lensa,IT
QA Software Engineer,Lensa,IT
QA Technician II,"Romac Industries, Inc.",IT
QA Test Lead,Sompo,IT
QA Tester,Lensa,IT
QA Tester- Actimize,Lensa,IT
Quality & Manufacturing Intern,Zipline,Non-IT
Quality & Speech Analyst- Call Miner,Newrez LLC,IT
Quality Assurance Analyst,KellyMitchell Group,IT
Quality Assurance Analyst I,Lensa,IT
"Quality Assurance Analyst, CoRo - Consumer Robotics",Amazon,IT
Quality Assurance Automation Test Engineer,Lensa,IT
Quality Assurance Automation Tester- II or Senior,Lensa,Non-IT
Quality Assurance Engineer,Wiraa,IT
"Quality Assurance Engineer I, Amazon Key",Lensa,IT
Quality Assurance Manager,A Hiring Company,Non-IT
Quality Assurance Specialist,Lensa,Non-IT
Quality Auditor Outpatient   Health Info & Record Management  FT,Talentify.io,Non-IT
Quality Client Representative,Simtra BioPharma Solutions,Non-IT
Quality Control Chemist - Data Reviewer,Lensa,IT
Quality Control Engineer - Southwest Region,Lensa,IT
Quality Control Technician - Days,"Toyota Boshoku America, Inc",Non-IT
Quality Engineer,Jobot,IT
Quality Engineer,Lensa,IT
Quality Engineer,Actalent,IT
Quality Engineer,TalentAlly,IT
Quality Engineer,Dice - JW,IT
Quality Engineer I,Lensa,IT
"Quality Engineer, Product Design",Lensa,IT
Quality Engineering Technician - Dimensional,Joby Aviation,Non-IT
Quality Inspector,ReSound,Non-IT
Quality Lead,"Chart Industries, Inc.",Non-IT
Quality Manager,Jobot,Non-IT
Quality Manager,"Elgen Manufacturing Company, INC",Non-IT
Quality Manager,Aegis Worldwide,Non-IT
"Quality Manager, Amazon Hub, NA HUB Quality",Amazon,Non-IT
Quality Manufacturing Engineer,Brady Corporation,IT
Quality Researcher Inspector,Bombardier,Non-IT
Quality Technician,"Milo's Tea Company, Inc.",Non-IT
Quant Programmer,PBF Energy,IT
Quantitative Analyst - Systematic Portfolio Construction,Capital Group,Non-IT
Quantitative Options Trader,BlockTech B.V.,Non-IT
Quantitative Risk Management Analyst,ICE,IT
"R&D Director, Software Engineering & Test Automation",Smith & Nephew,IT
R&D Engineer,Lightera,IT
R&D Engineer Controls Specialist,Pepsico,IT
R&D Engineer/Scientist II,Honeywell,IT
R213879 Distinguished Engineer - Finance Technology,RemoteWorker US,IT
Radar Engineer,Dice - JW,IT
Radar Systems Engineer - Subcontractor Liaison,HII-TSD,IT
Radio Frequency  Engineer,JT4,IT
Radiologic Technologist  - Sign On Bonus Available - Jefferson Hwy - FT - Days,Ochsner Health,Non-IT
Radiologic Technologist  - Sign On Bonus Available - Jefferson Hwy - Full Time,Ochsner Health,Non-IT
Radiologic Technologist - Full Time - Jeff Hwy - Incentive Available,Ochsner Health,Non-IT
Radiologic Technologist - Jefferson Hwy - Full Time - Nights  Thursday - Saturday  & Sunday - Wednesday  - Sign On Bonus Available,Ochsner Health,Non-IT
Radiologic Technologist - OMC New Orleans Jefferson Hwy Surgery Team - Full Time - Weekdays - Incentive Available,Ochsner Health,Non-IT
Radiologic Technologist - PRN - St Charles Parish Hospital,Ochsner Health,Non-IT
Rail Equipment Management Specialist,Gerdau North America,Non-IT
RC-135 Computer Systems Administrator,L3Harris Technologies,IT
RCM Analyst,Serenity Mental Health,IT
"React Developer, New Grad & Entry Level",Jobright.ai,IT
Real Estate Accountant and Finance Analyst,Jobot,Non-IT
Recruiter,DeLaval International AB,Non-IT
Refining Electrical Engineering Intern/Co-op Fall,Marathon Petroleum Corporation,Non-IT
Regional IT Site Support Lead NA,Florida Crystals,IT
Regional Underwriting Manager - Contract Surety,Crum & Forster,Non-IT
Registered Nurse   - Cardio Tele Unit - Nights **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse  - Critical Care -nights **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse  - Inpatient Specialty Cardiology -Days **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse  - Med Surg Nights **Sign on Avail**,Ochsner Health,Non-IT
"Registered Nurse  - Observation Unit - OMC, Jeff Hwy - Full Time - Nights - Sign on Bonus Available",Ochsner Health,Non-IT
Registered Nurse  - Skilled Nursing Facility - Post Acute Care Center - Full Time - Days,Ochsner Health,Non-IT
Registered Nurse  Med Surg - Day **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse  MedSurg - Days **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse  Observation MedSurg/Tele  - Nights **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse  Short Stay Cardiac Unit-Jefferson Highway-8-830 pm,Ochsner Health,Non-IT
"Registered Nurse - Acute Medical Stepdown Unit - OMC,  Jeff Hwy - Full Time - Days",Ochsner Health,Non-IT
Registered Nurse - ICU -  Full Time - Night Shift  - St Bernard Parish Hospital,Ochsner Health,Non-IT
Registered Nurse - MedSurg/Tele -  Night Shift - St. Bernard Parish Hospital - Full Time,Ochsner Health,Non-IT
Registered Nurse - Observation MedSurg/Tele - Days **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse -MedSurg/Tele/SD  - Days  **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse -MedSurg/Tele/SD - Nights **Sign on Avail**,Ochsner Health,Non-IT
Registered Nurse -OR/Surgery-SMH Sign On available,Ochsner Health,Non-IT
Regulatory Affairs Specialist,Jobot,Non-IT
Regulatory Affairs Specialist II,Lensa,Non-IT
Regulatory Analyst 2,Lensa,IT
Rehab Tech - St. Charles Parish Hospital - PRN - Days,Ochsner Health,Non-IT
Reinsurance Analyst,Starr Companies,IT
Release Engineer,Air Apps,IT
Reliability Compliance Analyst – CIP,Pattern Energy Group,IT
Reliability Engineer I,Lensa,IT
Reliability Engineer I,Milwaukee Tool,IT
Reliability Engineer II,Planet Pharma,IT
Reliability Field Engineer,CAI,IT
Reliability Manager,Allied Reliability Group,Non-IT
Renewable Energy - Senior Electrical Engineer,GPD Group,IT
Renewable Energy Technician 2 or 3- Wind [On Site],Edf-re,Non-IT
Reporting Analyst – Transformation,SiriusXM,IT
Research Analyst,CNA Corporation,IT
Research Analyst,TROUTMAN PEPPER HAMILTON SANDERS LLP,IT
Research Bioinformatician I - Bottini Lab - Kao Autoimmunity Institute,Lensa,Non-IT
Research Engineer - Computer Vision,Meta,IT
Research Scientist - Voice AI Foundations,Deepgram,IT
"Research Scientist / Research Engineer, Pre-training",Anthropic,IT
Research Scientist Co-Op,Lensa,IT
"Research Scientist, Amazon Music",Lensa,IT
"Research Scientist, Tokens",Anthropic,IT
Respiratory Therapist - St. Charles Parish Hospital - FT Days RRT or CRT - Sign on Bonus,Ochsner Health,Non-IT
Retail Demand Planning Manager,Lenovo,Non-IT
Retail Parts Pro,"Advance Auto Business Support, LLC",Non-IT
Retail Pharmacist - Weekends Only PRN,Ochsner Health,Non-IT
Retail Pharmacist I,Baylor Scott & White Health,Non-IT
Retail Sale Associate,Columbia Sportswear,Non-IT
Retail Store Manager  - Relocation Available,Spectrum,Non-IT
"Retail Supervisor - Potomac Mills, 6207, Woodbridge, VA",Adidas Group,Non-IT
Retirement Plan Compliance Analyst,Ascensus,IT
Revenue Analyst,Talentify.io,IT
Revenue Management Analyst,AKA Hotels+Hotel Residences,IT
RF Design Engineer,Analogic,IT
RF Software Engineer,RemoteWorker US,IT
"RF Test Automation Engineer, Electronic Warfare",Dice - JW,IT
Risk Assistant Engineer,KKCS,IT
"RN - Acute Medical Stepdown Unit - OMC, Jeff Hwy - Full Time",Ochsner Health,Non-IT
"RN - Acute Medical Stepdown Unit - OMC, Jeff Hwy - Full Time - Days",Ochsner Health,Non-IT
RN - Clinical Services Liaison - Outpatient & Home Infusion,Ochsner Health,Non-IT
RN - Critical Care - Day  Shift  -  Full Time - St. Bernard - Full Time,Ochsner Health,Non-IT
RN - Emergency Medicine - PRN - Night Shift - 7pm-7am - Morgan City – St. Mary Campus,Ochsner Health,Non-IT
RN - LTACH - ICU - Ochsner Extended Care Hospital - Full Time - Days,Ochsner Health,Non-IT
RN - LTACH - ICU - Post Acute Care Center - Sign on Bonus Available  - Full Time - Nights,Ochsner Health,Non-IT
RN - LTACH - Med Surg - Ochsner Extended Care Hospital - Full Time - Nights,Ochsner Health,Non-IT
RN - Med Surg - Night Shift - Full Time - St. Mary Hospital,Ochsner Health,Non-IT
RN - Medical Acute Care Unit - Days,Ochsner Health,Non-IT
"RN - Neuro Progressive Stepdown Unit - OMC Jeff Hwy - Weekends - 20,000 Sign on Bonus",Ochsner Health,Non-IT
"RN - Observation Unit - PRN - Nights - OMC, Jeff Hwy",Ochsner Health,Non-IT
RN - Progressive Care Unit - Jeff Highway - Full Time - NIGHTS -  Sign on Bonus,Ochsner Health,Non-IT
RN - Progressive Care Unit - Nights -  Sign On Bonus,Ochsner Health,Non-IT
RN Case Manager - OMC Jeff Hwy - Full Time - Various Units - Sign on Bonus,Ochsner Health,Non-IT
RN Day of Surgery Center-Jefferson Highway- Various Shifts Svailable,Ochsner Health,Non-IT
RN Navigator - Advanced Heart Failure,Ochsner Health,Non-IT
RN OR/Surgery - Elmwood Ortho Hospital - PRN,Ochsner Health,Non-IT
RN Quality Research Specialist & NDNQI Site Coordinator,Denver Health,Non-IT
RN Registered Nurse - Stepdown Unit - Nights - Advanced Compensation Offered!,Ochsner Health,Non-IT
RN Residency - New Grad - Select Inpatient Units - All Locations,Ochsner Health,Non-IT
RN Transition Navigator--Hospital Case Management--Kenner - PRN,Ochsner Health,Non-IT
RN Unit Supervisor  - Neonatal Intensive Care Unit  & NICU Stepdown - Full-time,Bronson Healthcare,Non-IT
RN- Critical Care- Cardiac ICU-Jefferson Highway -NIGHTS,Ochsner Health,Non-IT
"RN-Critical Care - OLGMC ICU - Part-time, Nights",Ochsner Health,Non-IT
RN-Critical Care - OUHC ICU - Full Time,Ochsner Health,Non-IT
RN-MedSurg/Tele/SD - PRN - Day and Night Shift Available - St Anne Hospital,Ochsner Health,Non-IT
"RN, Registered Nurse - 6N Cardiovascular IMC **Now Offering a 10K Sign-on Bonus for this position!",CHRISTUS Health,Non-IT
"RN, Stroke Heart Failure unit - PRN Tier Plan",CHRISTUS Health,Non-IT
Roadway Engineer,RS&H,IT
Roadway/Highway Engineer,RS&H,IT
Robot Embedded Senior Software Engineer,Amazon,IT
Robot Embedded Software Engineer,Amazon,IT
Robotics Research Engineer,Lensa,IT
Robotics Software Engineer - Tower - Manufacturing,Anduril Industries,IT
"Robotics Systems Engineer II, Amazon Robotics Deployment Engineering",Amazon,IT
RPA Developer - Portsmouth NH,service-credit-union,IT
RT - New Work/Life Opportunity - Cardiac Cath Lab - Baptist/ Clearview/Jeff Hwy Campuses - 30k SignOn,Ochsner Health,Non-IT
SaaS Sales Representative - Capital One Software,Lensa,Non-IT
Safety National Field Support Coordinator - UniFirst First Aid  Safety,UniFirst Corporation,Non-IT
Sales Analyst I,Rheem Manufacturing,Non-IT
"Sales Director, Communications and Software - North Central",Talentify.io,Non-IT
Sales Engineer,Profusion Cosmetics Corp.,Non-IT
Sales Engineer  Bay Area,Lenovo,Non-IT
"Sales Engineer - Wind Industry, Drive Train experience - 75% Domestic Travel",Jobot,Non-IT
Sales Engineer Virginia Beach,CyberCoders,Non-IT
Sales Operations Analyst,Stripe,Non-IT
Sales Operations Analyst,ServiceNow,Non-IT
"Sales Representative, NACI OCI AI Pursuits",Oracle,Non-IT
Sales Territory Manager - Latin America - Machinery Packaging & Capital Equipment Sales Required,Yamato Corporation,Non-IT
Sales Trainer / Training Program Manager,Lensa,Non-IT
Sales Training Manager,Lensa,Non-IT
Salesforce Architect,Intuit,IT
Salesforce Business Analyst,Lensa,IT
Salesforce Business Analyst,ATC,IT
Salesforce Developer,Lensa,IT
Salesforce Developer - FedRAMP,Lensa,IT
"Salesforce Developer, Key for Business",Amazon,IT
Salesforce Marketing Cloud-Senior Associate,PwC,IT
Salesforce Revenue Cloud- Senior Manager,PwC,IT
Salesforce Revenue Cloud-Senior Associate,PwC,IT
Salesforce Senior Associate [Pharma & Life Science],PwC,Non-IT
Sanctions Investigations Analyst,SMBC Group,IT
SAP ABAP Developer - ECC 6.,Lensa,IT
SAP Analyst Supply Chain/Procurement and Logistics,Lensa,IT
SAP Analyst Supply Chain/Procurement and Logistics,Mohawk Industries,IT
SAP BASIS Administrator -  to Puerto Rico,Lensa,IT
SAP BI/BW/HANA Developer,Lensa,IT
SAP Client Executive – Digital Supply Chain,Argano,Non-IT
"SAP Employee Central Payroll Business Analyst, Staff /",Lensa,IT
SAP Human Capital Payroll & Time Senior Manager,PwC,Non-IT
SAP Project Systems Specialist,Dematic,IT
SAP S/4 HANA Solution Architect,Argano,IT
SAP SD/RAR Staff Business Systems Analyst,Cadence,IT
Satellite Systems Engineer,Lockheed Martin,IT
Satellite Systems Engineer I-Level,SAIC,IT
SCA Maintenance Trades Helper,UICGS / Bowhead Family of Companies,Non-IT
SCADA & Communications Engineer – Utility-Scale Solar O&M,Expert Executive Recruiters (EER Global),IT
Scheduler - Kiewit Power Constructors,Kiewit,Non-IT
Scheduling Engineer,"Fortis Construction, Inc.",IT
School Photographer - Nationwide Opportunities,Lensa,Non-IT
"Scientific Writer, Upstream Process Development",Rentschler Biopharma SE,Non-IT
Scientist - Oncology Discovery,Lensa,IT
"Scientist, Opto-Mechanical Engineer",L3Harris Technologies,IT
"Scientist, Protein Design",Lensa,IT
"Scientist, Software Engineer",RemoteWorker US,IT
"SDE - BIOS, AWS Hardware Engineering, Firmware Development",Amazon Web Services (AWS),IT
SDE - React & iOS,Lensa,IT
"SDE AI/ML II, ML Inference Apps, AWS Neuron Apps",Amazon Web Services (AWS),IT
"SDE II - Alexa Data Services, Alexa Data Services team",Amazon,IT
Seat Design Engineer,"Toyota Boshoku America, Inc",IT
Security Analyst,Lensa,IT
Security Analyst - Intern,Lensa,IT
Security Architect,"Americold Logistics, LLC.",IT
Security Consultant * Position*,Lensa,IT
Security Engineer,Runpod,IT
"Security Engineer - Hardware, US ADC Security",Amazon Web Services (AWS),IT
Security Engineer - Scripting and Automations,Lensa,IT
Security Engineer III - Cybersecurity  Mergers & Acquisitions,JPMorgan - XML,IT
Security Engineer IV,Spectrum,IT
Security Manager,Davis Wright Tremaine LLP,IT
"Security Officer - Pt. Thomson, AK",Lensa,IT
Security Officer 503B,Empower Pharmacy,IT
Security Protective Force Officer,National Renewable Energy Laboratory,IT
Security Systems Eng-HOH 25,Amazon Web Services (AWS),IT
Security Systems Project Manager,Piedmont Door Solutions,IT
Security Technician II,Loyal Source Government Services,IT
Select National Technical Training Resource Specialist,USI Insurance Services,Non-IT
Semiconductor Manufacturing Engineer II- Electrical Engineer,Lensa,IT
Senior - Water Resource Engineer - Transportation,Pennoni,IT
Senior .NET Developer,Lensa,IT
Senior .Net Developer,Liberty Personnel,IT
Senior .Net Developer,Lensa,IT
"Senior .Net Developer  Contract  King of Prussia, PA",Lensa,IT
Senior .NET Engineer,Jobot,IT
Senior .NET Engineer,Dice - JW,IT
Senior .Net Software Development Engineer,WEX Inc,IT
Senior .Net Software Engineer -  WOrk,Lensa,IT
Senior / Principal Python Engineer,"SciTec, Inc.",IT
Senior / Principal Software Developer - Healthcare AI,Dice - JW,IT
Senior / Project Civil Engineer,GeoSyntec Consultants,IT
"Senior Account Executive, Data Solutions",G2,IT
"Senior Account Manager, Employee Benefits",AssuredPartners,Non-IT
Senior Accountant/ Financial Analyst,Robert Half - NA/US/SEP,Non-IT
"Senior Accounting Analyst, General Accounting","Advance Auto Business Support, LLC",Non-IT
Senior Actuarial Analyst - Pricing Analytics,"AmTrust Financial Services, Inc.",IT
Senior ADAS System Integration Engineer,Lucid Motors,IT
"Senior ADC Windows Client Engineer, Region Services Operations  - VECTOR Team",Amazon Web Services (AWS),IT
Senior Adobe Experience Platform Engineer,Centene,IT
"Senior Advisor, Solution Architect",Planet Pharma,IT
Senior AEM Backend Developer,MAXIMUS (MAIN RECORD),IT
Senior Aerospace Systems Safety Engineer,Boeing,IT
Senior Aerothermal Development Engineer,"Rivian Automotive, LLC",IT
Senior AI Engineer,RemoteWorker US,IT
Senior AI Engineer,AXA XL,IT
Senior AI Engineer,HCA Healthcare,IT
Senior AI Engineer,Dice - JW,IT
Senior AI Infrastructure Engineer - DGX Cloud,RemoteWorker US,IT
Senior AI Scientist,AXA XL,IT
Senior AI/ML Engineer,"Digital Ocean, Inc. - JW",IT
Senior AI/ML Engineer,WEX Inc,IT
Senior AI/ML Engineer - PowerPoint,Microsoft,IT
Senior Air Quality Project Manager,Montrose Environmental Group,Non-IT
Senior Algorithm Research Engineer,Insulet,IT
Senior Analog Servo Electrical Engineer,Collins Aerospace,IT
Senior Analyst - Card Analytics,OneMain,IT
Senior Analyst - Salesforce,Brookfield Asset Management Inc,IT
Senior Analyst AML & Financial Crimes Financial Intelligence Unit,Lensa,IT
Senior Analyst of Sales Operations,Lensa,Non-IT
"Senior Analyst, US Corporates - Technology, Media & Telecom - Chicago",Fitch Ratings,IT
"Senior Analytical Scientist, Biologics",Elanco,IT
Senior Android developer    Contract,Lensa,IT
Senior Android Developer    Contract,Lensa,IT
"Senior Android Developer, Mapping",Rivian and Volkswagen Group Technologies,IT
"Senior Android Engineer, Bitkey",Block,IT
Senior Angular Developer,Lensa,IT
"Senior Anti-Cheat Engineer, Amazon Games",Amazon Games,IT
Senior Application Administrator - Workday Integrations - FT - Days - DIO,Memorial Healthcare System,IT
Senior Application Engineer -  EST,Lensa,IT
"Senior Application Security Engineer-Austin or San Antonio, TX",HEB,IT
Senior Application Support Engineer - Calibre,Siemens EDA (Siemens Digital Industries Software),IT
Senior Applications Developer,Commonwealth of PA,IT
Senior Applied Scientist-Word,Microsoft,IT
"Senior Applied Scientist, Alexa",Amazon,IT
"Senior Applied Scientist, Alexa Smart Home",Amazon,IT
"Senior Applied Scientist, Amazon Robotics",Amazon,IT
Senior ASIC Design Engineer,NVIDIA,IT
Senior ASIC Design Engineer - DFX,NVIDIA,IT
Senior Assembly Equipment Maintenance Technician,Infinera,Non-IT
Senior Associate - Frontend Developer,New York Life Insurance Company,IT
Senior Associate - Oracle Cloud Technical Analyst,PwC,IT
Senior Associate Customs Compliance & Logistics Analyst  FootJoy,Acushnet Company,IT
"Senior Associate Scientist, Analytical Operations - Cell Therapy",Lensa,Non-IT
Senior Associate Systems Engineering,L3Harris Technologies,IT
"Senior Associate, Global Technical Support",Ciena,Non-IT
"Senior Associate, Site Selection & Incentives Advisory",Kroll,Non-IT
"Senior Associate, Software Engineer- Test",RemoteWorker US,IT
"Senior Audit Manager, Practices- Quality Assurance",Capital One,Non-IT
"Senior Audit Specialist, US ADC Security Audit and Risk Management Team",Amazon Web Services (AWS),IT
Senior Auditor,Etsy,Non-IT
Senior Authentication Engineer,RemoteWorker US,IT
Senior Automation Engineer,RemoteWorker US,IT
"Senior Automation Engineer , AMZL RME",Amazon,IT
Senior Automation Engineer.,Cognizant,IT
"Senior Autonomy Software Engineer, Tooling","Rivian Automotive, LLC",IT
Senior Autonomy Systems Validation Engineer,"Rivian Automotive, LLC",IT
Senior Avionics Manufacturing Development Engineer,Astrolab,IT
Senior Avionics Systems Engineer,Vast,IT
Senior AWS Application Security Engineer,Amazon Web Services (AWS),IT
Senior AWS Data Engineer,Fannie Mae,IT
Senior Azure .Net Developer,Lensa,IT
Senior Backend Engineer,micro1,IT
Senior Backend Software Engineer,Teleport,IT
Senior Backend Software Engineer,RemoteWorker US,IT
Senior Backend Software Engineer,Google - Wing,IT
Senior Backend Software Engineer - Data,GEICO,IT
"Senior Battery Test Engineer, Mechanical","Rivian Automotive, LLC",IT
Senior Bridge Engineer,TYLin,IT
Senior Bridge Engineer,Jacobs,IT
Senior Bridge Engineer,RS&H,IT
Senior Bridge Engineer,Pennoni,IT
Senior Bridge Engineer,CHA Consulting,IT
Senior Bridge Project Engineer,TranSystems,IT
Senior Building Commissioning Engineer / Agent,HDR,IT
Senior Building Mechanical Engineer- Industrial Buildings Group,Kiewit,IT
Senior Business Analyst,SpaceX,IT
Senior Business Analyst,Claritev,IT
Senior Business Analyst-CRM,"Medline Industries, LP",IT
Senior Business Recruiter,World,Non-IT
Senior Business Tax Analyst - Work From Home,TalentAlly,Non-IT
Senior Business Tax Analyst- Work From Home - 3 Yrs Paid Tax Experience Required,TalentAlly,Non-IT
Senior C Developer,ICE,IT
Senior C Software Development Engineer – Graphics,Esri,IT
"Senior C# Developer, Trilogy",Crossover,IT
SENIOR CANNABIS UNDERWRITER,The Carlisle Group Tcg,Non-IT
"Senior Chemical Engineer - Oil, Gas & Chemical",Burns & McDonnell,IT
Senior Civil Engineer,Jobot,IT
Senior Civil Engineer,Langan,IT
Senior Civil Engineer,HDR,IT
Senior Civil Engineer,Dice - JW,IT
Senior Claims Analyst,TriWest Healthcare Alliance,IT
Senior Claims Coordinator,"U.S. Venture, Inc.",Non-IT
Senior Client Solutions Architect Associate - Payments,JPMorgan - XML,IT
Senior Clinical Business Solutions Analyst-Epic,Talentify.io,Non-IT
Senior Clinical Research Coord - Nephrology - Full Time - On Site,Ochsner Health,Non-IT
Senior Cloud Native Backend Developer,"Medline Industries, LP",IT
Senior Cloud/Data Engineer,"Dev Technology Group, Inc.",IT
"Senior Colo Electrical Engineer, Colocation Regional Engineering",Amazon Web Services (AWS),IT
Senior Commercial Title Examiner AZ,First American,Non-IT
Senior Computer Architect - Deep Learning,NVIDIA,IT
Senior Computer Systems Engineer/Architect,Systems Planning and Analysis,IT
Senior Configuration Management  Analyst,UICGS / Bowhead Family of Companies,IT
"Senior Connectivity Engineer, AWS Data Center",Amazon Web Services (AWS),IT
Senior Construction Defect Technical Claims Specialist,Argo Group,Non-IT
"Senior Construction Manager, Data Center Construction",Amazon Web Services (AWS),Non-IT
Senior Consultant - Data Privacy,INFOSYS LIMITED,IT
Senior Control Systems Engineer,RoviSys Building Technologies,IT
Senior Control Systems Engineer,Generac Power Systems,IT
Senior Control Systems Engineer - Golden,LSI - Logical Systems Inc.,IT
Senior Controls Engineer,Parallel Systems,IT
"Senior Controls Engineer, Suspension",Rivian and Volkswagen Group Technologies,IT
"Senior Controls Engineer, Trajectory Control",Rivian and Volkswagen Group Technologies,IT
"Senior Coordinator, Global Brand Digital Marketing",Sony Pictures Entertainment,Non-IT
Senior Copywriter,Lensa,Non-IT
"Senior Copywriter, Creative Marketing",Lensa,Non-IT
Senior Credit Analyst,gpac,IT
Senior Cybersecurity Engineer,Valeo,IT
Senior Cybersecurity Researcher,National Renewable Energy Laboratory,Non-IT
Senior Cybersecurity Software Engineer - Secret Clearance Required,RemoteWorker US,IT
Senior Dam Safety Engineer/ FERC Independent Consultant,HDR,IT
Senior Data Analyst,"Platform Science, Inc.- Recruiter",IT
Senior Data Analyst II,MongoDB,IT
Senior Data Analyst Lead Developer,Myticas Consulting,IT
"Senior Data Engineer , Managed Operations Engineering & Data Science",Amazon Web Services (AWS),IT
"Senior Data Engineer, Advertising Identity Program",Amazon,IT
"Senior Data Engineer, Ring Data Science and Engineering",Amazon,IT
Senior Data Scientist,Plume Design,IT
Senior Data Scientist,ShiftKey,IT
Senior Data Scientist,Dice - JW,IT
"Senior Data Scientist, Amazon Advertising",Amazon,IT
"Senior Data Scientist, Amazon Publisher Cloud",Amazon,IT
"Senior Data Scientist, IPC Simulation",Amazon,IT
"Senior Data Scientist, Search & AI",ATLASSIAN,IT
Senior Database Administrator,Quaker Houghton,IT
Senior Database Architect,LPL Financial,IT
"Senior Database Engineer, RDS and Aurora MySQL",Amazon Web Services (AWS),IT
"Senior Database Specialist Solutions Architect, US Specialist Solutions Architects",Amazon Web Services (AWS),IT
Senior Deep Learning Algorithm Engineer,NVIDIA,IT
"Senior Deep Learning Architect, LLM Inference",NVIDIA,IT
"Senior Deep Learning Research Engineer, Advanced AI Systems",NVIDIA,IT
"Senior Delivery Consultant - Senior Machine Learning Engineer, AWS Professional Services",Amazon Web Services (AWS),IT
"Senior Delivery Consultant- GenAI/ML, AWS, Industries",Amazon Web Services (AWS),IT
Senior Developer,Burns & McDonnell,IT
Senior Developer,Randstad Digital Americas,IT
